id,item
151,AI
152,Patient-Reported Outcomes (PROs)
153,Tear Film Oriented Diagnosis (TFOD)
154,Transcriptome sequencing technology
155,Corneal epithelial cells
156,Proteomics technology
157,Acupuncture
158,Proteomics
159,Heat shock proteins
160,Glutathione pathway
161,peroxisome proliferator-activated receptor pathway
162,Calcium Binding Protein
163,S100A8/S100A9
164,Animal Model of Dry Eye without Sjögren Syndrome
165,Stem Cells
166,Ultrasound elastography
167,Artificial Intelligence (AI)
168,Machine Learning (ML)
169,Deep Learning (DL)
170,Transcriptomics
171,XAI Heatmap
172,Artificial Intelligence (AI)
173,Theory of Fire
174,Feature normalization correlation registration
175,NOD mice
176,Bibliometrics
177,VOSviewer
178,CiteSpace
179,Convolutional Neural Network (CNN)
180,Quality of life diagnostic scale
181,Dry Eyes No. 1
182,Tear replacement therapy
183,ELISA and multiplex techniques
184,ImageJ software
185,Ultra-high resolution OCT
186,Ultra-wide-angle fundus (UWF) images
187,Low-dose preservative-free hydrocortisone
188,Multiplex diagnostic techniques
189,Core i5-10500H CPU
190,Punctal plugs
191,Nano-liquid chromatography (nanoLC)
192,Dendrimer
193,Topical cyclosporine
194,Fluorescein decomposition pattern
195,Diagnosis Code (ICD-9)
196,"Diagnostic tools (MBI, J-OSDI, TFBUT)"
197,Manual marking by ophthalmologist
198,Corneal Photometer 5M
199,Tear secretion test
200,Intraclass Correlation Coefficient (ICC)
201,Ocular Surface Disease Index (OSDI)
202,"Advanced algorithms (e.g. GAN, GNN)"
203,16S rRNA gene amplicon sequencing
204,National Health Insurance Research Database (NHIRD)
205,U.S. Department of Defense (DOD) Military Health System
206,In vivo confocal microscopy (IVCM)
207,"Anti-inflammatory therapy (eg, corticosteroids, cyclosporine)"
208,Lissamine green and rose bengal staining
209,Controlled Harsh Environment (CAE) Chamber
210,Microscope examination images
211,Fluorescein and Rose Bengal staining
212,Conventional ELISA
213,Non-targeted lipidomics technology is used in
214,Blink Video
215,Supervised Learning Algorithms
216,Explainable Artificial Intelligence (XAI)
217,"Diquafosol tetrasodium, Rebamipide"
218,Optical Coherence Tomography (OCT)
219,"Nanoemulsions, nanosuspensions, liposomes, micelles"
220,Epithelial irregular factor (EIF)
221,Image quality and feature extraction for AMD diagnosis
222,Yolo
223,XAI tool transparency supports personalized treatment strategies
224,Nanoparticle delivery systems in dry eye treatment
225, YOLOv8
226,The OSDI questionnaire and eye blink video technology combined with deep learning were applied to
227,Fusion learning method combining multiple ophthalmic digital image sources
228,Cataract surgery
229,Low temperature and strong wind
230,Epithelial dysfunction
231,Amfenac (AF)
232,Drug toxicity
233,anxiety
234,Patients who receive LipiFlow treatment generally have mild or no obvious symptoms.
235,SH/CS-PF Use
236,Use of PEG/PG-PF
237,Aqueous-deficient dry eye model
238,Evaporative dry eye model
239,Medication Therapy Management Model (MTM)
240,Omega-3 fatty acids
241,PICASSO Board
242,Personalized medicine
243,Lightweight U-Net architecture
244,Cytokine group
245,Asian Dry Eye Society (ADES)
246,Asian Dry Eye Association
247,Salivary gland biopsy
248,MMP-9 inhibition
249,Antioxidants
250,Ion introduction of Chinese medicine
251,Hypoosmotic pressure artificial tears
252,Lubricant eye drops
253,MTM Services
254,Tear breakup time (BUT)
255,Schirmer I test
256,Unsaturated fatty acids (Omega-3)
257,OSDI (Dry Eye Symptom Index)
258,"Rosmarinic acid, chlorogenic acid"
259,Danzhi Xiaoyao Powder
260,TCM Syndrome Score
261,OSDI score
262,FL score
263,IL-1β
264,IL-6
265,hs-CRP
266,Meibomian gland secretion trait score decreased
267,Decreased meibum discharge score
268,Electroacupuncture
269,acupuncture
270,Acupuncture and medicine combined treatment
271,Eye Clearing Soup
272,Bidens pilosa extract
273,Heat and pulsation therapy
274,Hyperglycemic state
275,Comparison of Sodium Hyaluronate and Polyethylene Glycol Groups with Dextran-70 Group
276,Comparison of Sodium Hyaluronate Group with Polyethylene Glycol and Dextran-70 Group
277,Patients treated with sodium hyaluronate were compared with the relevant control group
278,A collection of technologies
279,Cyclosporine A
280,Tear break-up time (TBUT)
281,Omega 3 and Omega 6 polyunsaturated fatty acids
282,Artificial tears combined with traditional Chinese medicine atomization eye fumigation treatment
283,Traditional Chinese medicine ophthalmic care combined with modern new technologies and methods
284,Intense pulsed light (IPL) combined with low-intensity light therapy (LLLT)
285,Intense Pulsed Light (IPL) Treatment Combined with Meibomian Gland Expression (MGX)
286,"The fusion learning method combines data from optical coherence tomography (OCT), fundus autofluorescence (FAF), conventional color fundus photography (CFP), and ultra-wide-angle fundus (UWF) images"
287,Body acupuncture points combined with eye acupuncture points
288,Maximum blink interval (MBI) combined with Japan ocular surface disease index (J-OSDI)
289,Generative Adversarial Networks (GANs)
290,Multi-source data combined with XAI
291,AI dry eye technology applied to the system
292,Houttuynia cordata eye drops
293,Calcitonin gene-related peptide (CGRP)
294,SP/NK1R antagonists
295,"Long-chain Omega-3 PUFA (EPA, DHA)"
296,After age-related cataract surgery
297,Corneal surgery
298,Sjögren's syndrome or non-Sjögren's syndrome
299,Lifitero
300,Anti-inflammatory treatment
301,Chinese medicine fumigation
302,Corneal nerve fiber damage
303,Tear functional unit disorder
304,Corneal nerve abnormalities
305,Acupuncture points for regulating body functions in traditional Chinese medicine
306,"Diagnostic Transformer (DETR), Transformer architecture, provides enhanced global context understanding"
307,The method of nourishing water and concentrating wood combined with western medicine
308,Chufeng Yisun Decoction combined with tobramycin dexamethasone eye drops
309,Acupuncture combined with pranoprofen eye drops
310,Proteomics combined with microbiome
311,Danzhi Xiaoyao Powder combined with meibomian gland massage
312,Ultrasonic atomization of houttuynia eye drops combined with meibomian gland massage
313,COVID-19 pandemic
314,Seasonal changes
315,Screen Time (ST) Timing (Before Bedtime)
316,Red eyes
317,Smartphone use
318,Blepharitis
319,IPL/LLLT combination therapy
320,Cyclosporine A
321,Tear Film Guided Therapy (TFOT)
322,Ribapat
323,Dry eye patients
324,inflammation
325,Cationic emulsion (CE) artificial tears
326,Dry eye animal model
327,Autoimmune disease models
328,"MUC16, MUC1, and MUC4 membrane-bound mucins"
329,Reactive oxygen species (ROS)
330,Smoking status
331,Temperature-sensitive ink - changes color to warn users of overuse of their eyes
332,Diagnostic Methods
333,OTX-101 is a cyclosporine formulation
334,Acupuncture therapy combined with traditional Chinese medicine such as Qiju Dihuang Decoction and Yangyin Runmu Decoction
335,FDA and EMA
336,After treatment of dry eye patients
337,Machine Learning (ML) and Explainable Artificial Intelligence (XAI) Tools
338,Aqueous Deficiency Dry Eye (ADDE)
339,Sjögren's syndrome (SS)
340,Chronic dry eyes
341,Dry Eye
342,Severe dry eyes
343,The Ocular Surface Disease Index (OSDI) provides subjective data
344,Nano-micelle formulation
345,Cyclosporine A (CsA)
346,Inflammatory response
347,Autophagy
348,Tear film
349,Adverse Reactions
350,Tear film lipid layer (TFLL)
351,Glasses or contact lenses
352,Schirmer Ⅰ test (S Ⅰ t)
353,Goblet cell reduction
354,Epworth Sleepiness Scale (ESS) People with high daytime sleepiness
355,Mask-Associated Dry Eyes (MADE)
356,ophthalmologist
357,Trehalose
358,Pseudomonas
359,Mucin
360,Changes of peak systolic velocity in lacrimal artery
361,Age group (20-30 years old)
362,Healthy and ADDE patients
363,Use of metformin
364,Conjunctival lymphoma
365,Diabetic peripheral neuropathy
366,Corneal neuropathy
367,Diabetic retinopathy
368,Diabetic patients
369,Diabetic dry eyes
370,Prostaglandin derivatives
371,Carbonic anhydrase inhibitors
372,Contact lens wear
373,Lifestyle-related dry eye
374,Video terminal usage time
375,Less frequency of outdoor activities
376,Wearing orthokeratology lenses
377,Wearing contact lenses
378,Tear Breakup Time (BUT) Low
379,Tear secretion test (SIT) Low
380,Type 3 Dry Eye (Mixed)
381,Omega-6 polyunsaturated fatty acids (PUFA)
382,PEG/PG-PF (Systane? Ultra PF)
383,Restasis? (cyclosporine A)
384,YOLOv5 target diagnosis model
385,Intestinal flora imbalance
386,Eicosapentaenoic acid (EPA)
387,Actinobacteria
388,Femtosecond laser-assisted cataract surgery (FLACS)
389,Non-invasive tear film breakup test
390,Non-invasive tear break-up time (NITBUT)
391,Patient satisfaction
392,Image classification based on ResNet
393,Tear film break-up time (TFBUT)
394,Tear Film Lipid Layer (TFLL) Diffusion Grade (SG)
395,Tear secretion test I (ST1)
396,Tear Deficient Dry Eye (ADDE)
397,Mask
398,Screen Time (ST) Duration
399,"Gaseous pollutants (NO2, SO2, O3)"
400,CXCL8
401,CCL2
402,CCL3
403,Fully Convolutional Network (FCN)
404,Upper eyelid closure maximum velocity (UCMV)
405,Digital screen usage
406,Diabetes mellitus (DM)
407,ICAM-1
408,Ocular surface epithelial lesions
409,Ocular surface epithelial damage (CED and CjED)
410,Ocular Demodex colonization
411,"Eye surgery (e.g. cataracts, LASIK)"
412,Depression and anxiety
413,Fluorescein staining
414,Prolonged screen time
415,Lipid layer thickness (LLT)
416,UV radiation
417,"Autoimmune disorders (eg, Sjögren syndrome)"
418,"Autoimmune disorders (eg, Sjögren syndrome, rheumatoid arthritis)"
419,Computer Vision Syndrome (CVS)
420,Data quality enhancement based on XAI
421,Dry eyes
422,HbA1c and fasting blood sugar levels
423,IL-17A and IL-2
424,Meibography score
425,Schirmer test
426,obesity
427,Width of corneal basal nerve
428,Corneal basal nerve bending
429,Length of corneal basal nerve
430,Tear meniscus radius (TMR)
431,SH/CS-PF and PEG/PG-PF
432,Low-dose hydrocortisone for chronic dry eye
433,Sensitivity and specificity for diagnosing DED
434,Comparison of YOLOv8 and YOLOv5
435,PFHO Treatment
436,Comparison of Restasis? in Cyporin N? group at 12 weeks
437,IPL and MGX Treatment
438,Comparison of sodium hyaluronate treatment group with control group
439,Sodium hyaluronate and polyethylene glycol eye drops
440,Patients with Demodex colonization were compared with patients without Demodex infection
441,"Hydrocortisone treatment, showing improvement in symptoms"
442,Ocular drug bioavailability in the treatment of dry eye
443,Sodium hyaluronate eye drops
444,Hydrocortisone treatment
445,Artificial tears and osmoprotectants
446,Hyaluronic acid
447,Long-term effects of IPL/LLLT last beyond 12 months after treatment
448,Treatment-emergent adverse events (TEAEs)
449,Radiation therapy (RT)
450,"Hydrocortisone treatment, suggesting improved tear film stability"
451,Therapeutic interventions
452,Treatment of artificial tears combined with traditional Chinese medicine atomization eye fumigation
453,Glucan-70 Eye Drops
454,Polyethylene glycol eye drops
455,Global Dry Eye Study
456,The annual incidence rate showed an upward trend from 2008 to 2012
457,ADDE patients
458,"Department of Ophthalmology, The First Affiliated Hospital of Harbin Medical University"
459,Optic atrophy
460,Ocular allergy (OA)
461,Glycolysis/gluconeogenesis
462,MMP-9
463,Pro-inflammatory cytokines
464,Lid margin variation
465,Phototoxicity
466,"Environmental factors (e.g. pollution, weather)"
467,"Environmental factors (eg, UV radiation, pollution)"
468,Matrix Metalloproteinases (MMPs)
469,Air pollution
470,"Systemic complications (such as hyperlipidemia, hypertension)"
471,Video Display Terminal (VDT)
472,"Cells (TH1, TH17)"
473,BUT and SIT
474,High osmotic pressure
475,MMPs
476,Topical medication application
477,Inflammatory factors
478,IL-17
479,Corneal refractive surgery
480,Medication for surgery
481,Reactive oxygen species (ROS)
482,Using a video terminal
483,A small number of patients receive PFHO treatment
484,Dry Eye Syndrome (DES)
485,DED affects wound healing and angiogenesis
486,MRPs (Medication Related Problems)
487,Heat generated by the eye mask
488,DED among digital screen users has economic and personal consequences
489,Bacteroidetes level and Actinomyces positive
490,The air exhaled from the mask flows upward
491,ST lasts longer
492,The technique was applied to and visualized important features of the ML model for MGD diagnosis
493,Metabolomics technology is used in DES research
494,Classifying and diagnosing eye redness conditions
495,Correlation optimization of model selection in multi-model fusion methods
496,Tear collection methods and techniques applied to technology
497,Tear film instability
498,Tear film instability and inflammation
499,Tear film lipid layer
500,The duration and length of study of primary school students are too long
501,Macular degeneration
502,Vitreoretinal surgery
503,Tear gland hardness
504,Postmenopausal women
505,Hyperosmotic tear film
506,Nerve sensory abnormalities
507,Complement and the coagulation cascade
508,gout
509,Neuropeptides
510,"Environmental stress, surgery, and autoimmune conditions"
511,Tear Hyperosmolarity and DED
512,Preservatives and surfactants (toxic effects)
513,Climate differences between Nanjing and Yili
514,Caused by internal and external factors
515,Cataract surgery results
516,"Presence of Demodex mites, which cause decreased tear production and worsening symptoms"
517,Extended time spent on digital devices during the pandemic
518,26.9% of participants wore masks
519,Hyperosmotic ROS
520,innate immune response
521,Cataract surgery due to ocular surface damage and tear film instability
522,0.05% cyclosporine A eye drops
523,type 2 diabetes
524,Patients with moderate to severe DPN
525,DPN patients
526,Type 2 diabetes patients
527,diabetes
528,cataract surgery incision
529,Tear film secretion gland abnormalities
530,Surgery takes too long
531,perioperative medications
532,anxiety and depression
533,cataract surgery
534,Meibomian gland dysfunction
535,Children and teenagers of different ages wearing orthokeratology lenses
536,Improper liver and lung meridians
537,abnormal liver function
538,Abnormal lung function
539,Liver and lung qi imbalance
540,Calbindin abnormality
541,Mucin abnormalities
542,high blood sugar
543,systemic medication
544,topical medication
545,lacrimal gland resection
546,dry environment stress
547,blue light exposure
548,high fat diet
549,sleep deprivation model
550,hormone deficiency model
551,"Low humidity, high airflow"
552,Mucin layer abnormalities
553,Acellular matrix abnormalities
554,environmental meteorological factors
555,temperature
556,low humidity
557,air quality index
558,wind force
559,High temperature environment
560,low temperature environment
561,Meibomian gland dysfunction
562,Age
563,Meibomian gland duct obstruction
564,Spleen and stomach damp-heat syndrome
565,Liver depression and spleen deficiency syndrome
566,Liver and Kidney Yin Deficiency
567,Yin deficiency and dryness-heat syndrome
568,Liver blood deficiency syndrome
569,Meibomian gland dysfunction dry eye
570,Benzalkonium chloride
571,Beta-adrenergic receptor blockers
572,α-adrenergic receptor agonists
573,Corneal transplantation
574,Loss of tear film homeostasis
575,Corneal nerve damage
576,Liver meridian stagnation and heat syndrome
577,Demodex infestation
578,Kidney Yang Deficiency Cold
579,Fire Transgression
580,Excessive use of electronic products
581,Excimer laser surgery
582,Environmental factors
583,Tear gland removal
584,Meibomian gland burning
585,Androgen deficiency
586,Laser-assisted in situ keratomileusis
587,Dry eye inflammation
588,Corneal and conjunctival diseases
589,Tear gland dysfunction
590,Sjögren's syndrome (SS)
591,Sjögren's syndrome-related dry eye (SS-DED)
592,Unhealthy lifestyle
593,Long-term video terminal operation
594,Less physical exercise
595,Not getting enough sleep
596,Video terminal use
597,Perimenopause
598,Insufficient Tiangui
599,Decreased tear film stability
600,Damage to conjunctival goblet cells
601,Poor blood sugar control
602,Insomnia
603,Cataract phacoemulsification
604,Eye surgery
605,Strabismus surgery
606,High Dose Omega-3
607,Tear film breakup (TFBU)
608,Lacrimal gland insufficiency
609,Decreased tear production
610,Corneal nerve injury
611,Mitochondrial dysfunction
612,Autoimmune diseases (such as Sjögren's syndrome)
613,Fluctuating sex hormone levels
614,IOP-lowering drugs
615,Decreased levels of sex hormones
616,Changes in sex hormone levels
617,Phacoemulsification surgery time ≥ 20 minutes
618,Non-infectious inflammation
619,Contact lens wearing
620,Liver and kidney yin deficiency
621,Peripheral nerve abnormalities
622,Insulin abnormalities
623,Perimenopause
624,Umbilical acupuncture treatment
625,Eyelid surgery
626,Estrogen and androgen levels
627,Short tear breakup time (short TBUT)
628,Hormone imbalance
629,"Environmental factors (humidity, temperature)"
630,Indoor Air Quality
631,"Weather conditions (humidity, temperature, wind)"
632,Povidone-iodine
633,Blue light emission
634,Tear hyperosmolarity
635,Primary Sjögren's syndrome (SS)
636,Long-term video terminal exposure
637,Insufficient sleep
638,Phacoemulsification surgery takes too long
639,Vitamin D deficiency
640,Iatrogenic factors
641,NF-B
642,TNF-α
643,Diquafosol Sodium
644,"Matrix metalloproteinase-9, matrix metalloproteinase-1"
645,Topical cyclosporine A
646,Bacteroidetes
647,Prevotella
648,ICAM-1
649,Concomitant diabetes
650,Phacoemulsification time ≥ 20 minutes
651,Drug use within 3 months before surgery
652,Visual display terminal usage ≥ 2 hours per day
653,Single-day visual display terminal usage time ≥ 2 hours
654,Hormone replacement therapy (HRT)
655,Older
656,Drug use
657,Conjunctival goblet cells
658,Ceramide
659,Age and gender
660,Dendritic cells
661,NPY
662,Tear hyperosmolarity
663,Interleukin-1 (IL-1)
664,Benzalkonium chloride (BAC)
665,Hyperosmotic pressure (HO)
666,Glycerides
667,Nourishing the kidney and warming the yang
668,Nourishes Yin and reduces fire
669,Healthy temper
670,Artificial tear supplements and lubricants
671,Photothermal conversion hydrogel mini eye patch
672,Qiju Dihuang Wan
673,Wolfberry
674,Benzalkonium chloride (BAK)
675,NEI-VFQ-25
676,NEI-RQL-42
677,QOV Scale
678,PSQI (Pittsburgh Sleep Quality Index)
679,Japanese Ocular Surface Disease Index (J-OSDI)
680,Corneal fluorescein staining
681,Tear film breakup time
682,Non-invasive tear breakup time (NIBUT)
683,Corneal nerve morphology
684,"""10-point goal progress card"""
685,Thermal imaging of the ocular surface
686,Questionnaire on the impact of dry eyes on daily life
687,Depression-Anxiety-Stress Scale (DASS)
688,Self-rating depression scale (SDS)
689,Self-Rating Anxiety Scale (SAS)
690,Visual Quality Questionnaire
691,OSDI scale
692,VF-QOL Scale
693,GQL-15 scale
694,SQOL-DVI scale
695,0.05% Cyclosporine A Nanoemulsion
696,LipiFlow Thermal Pulsation System
697,Omega-3 polyunsaturated fatty acids (PUFA)
698,Conjunctival impression cytology (CIC)
699,Perfluorohexyloctane (PFHO) Ophthalmic Solution
700,Systematic review
701,SMTube
702,C-OSDI Questionnaire
703,"YOLOv5 and YOLOv8, focusing on speed and accuracy"
704,"YOLOv5 and YOLOv8, focusing on speed and accuracy"
705,Latest clinical trials on DES
706,"Schirmer score, LLT, fluorescein tear break-up time (FTBUT)"
707,Ultra-high-resolution optical coherence tomography (UHR-OCT)
708,Fluorescein tear break-up time (FTBUT)
709,Tear lipid layer thickness (LLT)
710,Tear River Height (LTMH)
711,Tear River Height (TMH)
712,Tear River Test Paper (SMTube)
713,Ocular Surface Disease Index (OSDI)
714,Dry Eye Quality of Life Score (DEQS)
715,Objective and subjective scoring systems
716,Fluorescein decomposition time (FBUT)
717,Chinese OSDI (C-OSDI)
718,Tear film osmolarity
719,Tear osmolarity
720,Higher scores on the Pittsburgh Sleep Quality Index (PSQI)
721,Tear osmolarity test
722,MBI with J-OSDI
723,Lateral Flow Immunoassay (LFIA)
724,CCL1
725,miR-21-5p
726,Semiquantitative scoring of lacrimal gland echogenicity
727,Young's modulus average value (Emean)
728,Serum vitamin D level
729,Serum interleukin-20 (IL-20)
730,Inflammation and immune response
731,"Tear film instability, tear hyperosmolarity, ocular surface inflammatory damage, and neurosensory abnormalities"
732,Ocular surface immune response
733,Irregularities in the corneal epithelial surface
734,Proteus
735,Actinomycetes
736,Firmicutes
737,Demodex
738,Ocular surface damage Dry eye
739,Macrophages
740,Neutrophils
741,NK cells
742,"Acupuncture, Chinese herbal fumigation"
743,Low concentration atropine eye drops
744,Huanglian Wendan Decoction
745,chrysanthemum
746,"Vitex rotundifolia, Buddleja buddleja"
747,"Lithospermum officinale, dandelion, etc."
748,Bidens pilosa
749,Chinese medicine treatment
750,Heat
751,Ophiopogon japonicus
752,Serum albumin
753,Serum transferrin
754,Apolipoprotein AI
755,Jiawei Xiaoyao Pills
756,Paraben-free formula
757,Fitzpatrick Skin Type IV
758,AF/Au@Poly-CH NPs are protected from DED damage
759,KPI-121 0.25% stabilizes the ocular surface and reduces inflammatory episodes
760,"PFHO, reduces evaporation and stabilizes the tear film"
761,"Chrysanthemum, mulberry leaves"
762,Meibomian gland massage
763,Iontophoresis
764,Intense Pulsed Light (IPL)
765,Psychological interventions
766,Thunder Fire Moxibustion
767,SFBT
768,Combined diagnosis
769,Pharmacist-led MTM services
770,TCM Syndrome Differentiation and Treatment
771,Wenshen Xiaoyao Decoction
772,Acupoint massage combined with Chinese medicine package
773,Nanosuspension
774,BUT (Tear Breakup Time)
775,SIT (tear secretion test)
776,Tear secretion test (SIT)
777,Chinese medicine Yiqi Congming Decoction
778,Moxibustion
779,Chinese medicine fumigation combined with acupuncture
780,Chinese medicine fumigation combined with artificial tears
781,Ganluyin combined with sodium hyaluronate
782,Traditional Chinese Medicine Nursing Program
783,Chinese medicine fumigation combined with Chinese medicine ion introduction
784,Cyclodextrins and Nanoparticles
785,Mucus Penetrating Particles (MPP)
786,Personalized pharmacy management plan
787,Prevention and management options for lifestyle-related dry eyes
788,Implants
789,Cetaxel chloride (CKC)
790,Autologous serum (AS) eye drops
791,Management and treatment
792,Health Talks
793,Chinese herbal eye fumigation
794,Patient Education
795,Combination formula
796,Traditional Chinese Medicine Treatment
797,Chinese medicine package for external application
798,patient
799,Sodium hyaluronate eye drops
800,Cationic Emulsion (CE)
801,Xiaoshengsan
802,SKQ1 Antioxidant
803,"Lysozyme C, lipocalin-1, lactotransferrin"
804,Altered amino acid metabolism
805,Sphingolipid changes
806,"Neurotrophic factors (eg, NGF, serotonin)"
807,C
808,Hot water fumigation
809,"Inflammatory cytokines (eg, IL-1β, TNF-α)"
810,In situ gel
811,Non-contact tear break-up time (NIBUT)
812,Acupuncture + artificial tears
813,Self-made eye-moistening soup
814,KPI-121 0.25% Clinical Trial (STRIDE)
815,Cholinergic drugs
816,Glucocorticoids
817,Traditional Chinese Medicine
818,Alpha-lipoic acid (ALA)
819,Vitamin D
820,Cyclosporine A (CsA)
821,α7nAChR
822,Acupuncture
823,Buddleja buddleja
824,Qi-boosting and eye-nourishing soup
825,Polydatin
826,Cyclosporine A eye drops
827,LFA-1 antagonists
828,Reproxalap
829,miRNA
830,Dan Eye Drops
831,Cyclooxygenase-2 (COX-2) enzyme
832,Lipid tear supplements
833,Treatment before cataract surgery
834,Cyclosporine
835,Cyclosporine (CsA)
836,Chrysanthemum and lotus formula for eye smoke
837,Chinese medicine aerosol therapy
838,Simple acupuncture
839,Various formulation strategies for artificial tears and medicated eye drops
840,Loteprednol Etac
841,"Topical immunomodulators (eg, cyclosporine, lifitegrast)"
842,Sodium Hyaluronate
843,High humidity
844,Health Guidance
845,Acupuncture + Chinese medicine + artificial tears
846,Lymphocyte function-associated antigen 1 (LFA-1)
847,Acupuncture treatment
848,Increased polymer micelles
849,Acupuncture + Chinese medicine
850,Lactoferrin
851,Varenicline Nasal Spray (OC-01)
852,Diquafosol infusion therapy
853,SFBT
854,Corneal and conjunctival fluorescein staining
855,Liposomes
856,Distant and Near Acupoints
857,Chinese medicine fumigation combined with meibomian gland massage
858,Acupuncture
859,Gua Sha around eyes
860,Hyaluronic acid (HA)
861,OC-01 Nasal Spray
862,How to use hydrogel eye patch
863,Cyporin N? Faster than Restasis?
864,LipiFlow treatment through better meibomian gland expression
865,Double-effect nano eye drops
866,Diquafosol enhances LLT and reduces tear breakup time (NIBUT)
867,Long-term use of PFHO
868,Omega-3 fatty acids
869,Hot compress and meibomian gland massage
870,Preservative-free eye drops
871,Solution Focused Brief Therapy (SFBT)
872,Chrysanthemum and lotus
873,Topical cyclosporine
874,Topical anti-inflammatory drugs
875,Chinese medicine fumigation
876,Quality of life management
877,Chinese medicine mist fumigation eye treatment
878,Lifestyle Adjustments
879,Intense Pulsed Light Therapy (IPL)
880,Chinese medicine fumigation treatment
881,Hormone replacement therapy
882,Vitamin D replacement therapy
883,Soothing Liver and Eyesight Soup
884,Sun's Abdominal Acupuncture
885,Abdominal acupuncture treatment
886,Nanoemulsion
887,Antioxidants from Natural Foods
